target,best_epoch,val_loss,RMSE,MAE,MAPE,R2
temp,3,0.33657994866371155,3.907867253367984,3.233358738361847,9.851662220939712,-0.6560245878792619
hum,35,0.31441858410835266,11.192072961541687,9.770526911990281,17.152247732980403,-0.6411539977596363
